Date,Mkt,Rf,Rm-Rf,S,B,SMB,H,L,HML,U,D,UMD,S-Rf,B-Rf,H-Rf,L-Rf,U-Rf,D-Rf
193601,0.0661,0.0001,0.066,0.145533333,0.080666667,0.064866667,0.1727,0.0704,0.1023,0.08415,0.12465,-0.0405,0.143033333,0.078166667,0.1702,0.0679,0.08165,0.12215
193602,0.0257,0.0001,0.0256,0.048733333,0.0413,0.007433333,0.0636,0.02505,0.03855,0.0528,0.0267,0.0261,0.046233333,0.0388,0.0611,0.02255,0.0503,0.0242
193603,0.0094,0.0002,0.0092,0.014233333,0.0045,0.009733333,-0.00485,0.0173,-0.02215,0.01775,0.0037,0.01405,0.011733333,0.002,-0.00735,0.0148,0.01525,0.0012
193604,-0.0805,0.0002,-0.0807,-0.1516,-0.0833,-0.0683,-0.1335,-0.1116,-0.0219,-0.139,-0.06155,-0.07745,-0.1541,-0.0858,-0.136,-0.1141,-0.1415,-0.06405
193605,0.0503,0.0002,0.0501,0.0625,0.054766667,0.007733333,0.07585,0.05035,0.0255,0.06935,0.04115,0.0282,0.06,0.052266667,0.07335,0.04785,0.06685,0.03865
193606,0.026,0.0003,0.0257,-0.009466667,0.021,-0.030466667,-0.0023,0.0065,-0.0088,0.0159,0.01035,0.00555,-0.011966667,0.0185,-0.0048,0.004,0.0134,0.00785
193607,0.0646,0.0001,0.0645,0.091566667,0.0791,0.012466667,0.10085,0.08275,0.0181,0.0833,0.04975,0.03355,0.089066667,0.0766,0.09835,0.08025,0.0808,0.04725
193608,0.0108,0.0002,0.0106,0.0195,0.019966667,-0.000466667,0.0395,0.0036,0.0359,0.01275,0.00705,0.0057,0.017,0.017466667,0.037,0.0011,0.01025,0.00455
193609,0.0143,0.0001,0.0142,0.0425,0.0099,0.0326,0.0233,0.03045,-0.00715,0.03415,0.02535,0.0088,0.04,0.0074,0.0208,0.02795,0.03165,0.02285
193610,0.0691,0.0002,0.0689,0.056533333,0.079066667,-0.022533333,0.0714,0.053,0.0184,0.06845,0.0543,0.01415,0.054033333,0.076566667,0.0689,0.0505,0.06595,0.0518
193611,0.0333,0.0001,0.0332,0.1043,0.022866667,0.081433333,0.05815,0.07635,-0.0182,0.0748,0.05365,0.02115,0.1018,0.020366667,0.05565,0.07385,0.0723,0.05115
193612,0.0021,0,0.0021,0.0371,0.005233333,0.031866667,0.0494,-0.00635,0.05575,0.0306,0.00885,0.02175,0.0346,0.002733333,0.0469,-0.00885,0.0281,0.00635
